COAL_MOISTURE,MILL_OUTLET_TEMP,AF_RATIO,MILL_INLET_TEMP
6,48.888888888888886,2.0,95.20063124723043
7,48.888888888888886,2.0,103.96670994848046
8,48.888888888888886,2.0,106.88873618223045
9,48.888888888888886,2.0,111.27177553285547
10,48.888888888888886,2.0,115.65481488348047
11,48.888888888888886,2.0,117.84633455879299
12,48.888888888888886,2.0,121.49886735098052
13,48.888888888888886,2.0,125.151400143168
14,48.888888888888886,2.0,127.34291981848052
15,48.888888888888886,2.0,130.26494605223056
16,48.888888888888886,2.0,133.91747884441804
17,48.888888888888886,2.0,136.10899851973056
18,48.888888888888886,2.0,139.03102475348055
19,48.888888888888886,2.0,141.22254442879304
20,48.888888888888886,2.0,143.41406410410556
21,48.888888888888886,2.0,146.33609033785558
22,48.888888888888886,2.0,148.5276100131681
23,48.888888888888886,2.0,149.9886231300431
24,48.888888888888886,2.0,152.1801428053556
25,48.888888888888886,2.0,155.1021690391056
26,48.888888888888886,2.0,157.29368871441815
27,48.888888888888886,2.0,158.75470183129312
28,48.888888888888886,2.0,160.94622150660564
29,48.888888888888886,2.0,163.13774118191813
30,48.888888888888886,2.0,164.59875429879312
31,48.888888888888886,2.0,166.05976741566815
32,48.888888888888886,2.0,168.25128709098067
33,48.888888888888886,2.0,169.71230020785566
34,48.888888888888886,2.0,171.90381988316813
35,48.888888888888886,2.0,173.36483300004318
36,48.888888888888886,2.0,175.55635267535567
37,48.888888888888886,2.0,177.01736579223066
38,48.888888888888886,2.0,179.20888546754318
39,48.888888888888886,2.0,180.66989858441818
40,48.888888888888886,2.0,182.86141825973067
6,49.44444444444444,2.0,97.39215092254292
7,49.44444444444444,2.0,104.69721650691794
8,49.44444444444444,2.0,108.34974929910545
9,49.44444444444444,2.0,113.46329520816798
10,49.44444444444444,2.0,117.11582800035548
11,49.44444444444444,2.0,120.03785423410551
12,49.44444444444444,2.0,123.69038702629298
13,49.44444444444444,2.0,125.88190670160553
14,49.44444444444444,2.0,129.53443949379303
15,49.44444444444444,2.0,132.45646572754305
16,49.44444444444444,2.0,136.10899851973056
17,49.44444444444444,2.0,136.83950507816803
18,49.44444444444444,2.0,141.22254442879304
19,49.44444444444444,2.0,143.41406410410556
20,49.44444444444444,2.0,145.60558377941808
21,49.44444444444444,2.0,148.5276100131681
22,49.44444444444444,2.0,149.9886231300431
23,49.44444444444444,2.0,152.1801428053556
24,49.44444444444444,2.0,154.3716624806681
25,49.44444444444444,2.0,157.29368871441815
26,49.44444444444444,2.0,159.48520838973062
27,49.44444444444444,2.0,160.94622150660564
28,49.44444444444444,2.0,163.13774118191813
29,49.44444444444444,2.0,166.05976741566815
30,49.44444444444444,2.0,166.79027397410562
31,49.44444444444444,2.0,168.25128709098067
32,49.44444444444444,2.0,170.44280676629316
33,49.44444444444444,2.0,173.36483300004318
34,49.44444444444444,2.0,174.09533955848067
35,49.44444444444444,2.0,177.01736579223066
36,49.44444444444444,2.0,178.4783789091057
37,49.44444444444444,2.0,180.66989858441818
38,49.44444444444444,2.0,182.1309117012932
39,49.44444444444444,2.0,182.86141825973067
40,49.44444444444444,2.0,186.5139510519182
6,50.0,2.0,98.12265748098042
7,50.0,2.0,106.15822962379295
8,50.0,2.0,109.81076241598046
9,50.0,2.0,114.92430832504299
10,50.0,2.0,118.57684111723049
11,50.0,2.0,122.229373909418
12,50.0,2.0,124.42089358473052
13,50.0,2.0,128.8039329353555
14,50.0,2.0,132.45646572754305
15,50.0,2.0,134.64798540285554
16,50.0,2.0,136.83950507816803
17,50.0,2.0,139.76153131191802
18,50.0,2.0,141.95305098723057
19,50.0,2.0,145.60558377941808
20,50.0,2.0,147.79710345473055
21,50.0,2.0,150.7191296884806
22,50.0,2.0,151.4496362469181
23,50.0,2.0,154.3716624806681
24,50.0,2.0,156.5631821559806
25,50.0,2.0,159.48520838973062
26,50.0,2.0,161.67672806504314
27,50.0,2.0,163.13774118191813
28,50.0,2.0,165.32926085723068
29,50.0,2.0,167.52078053254314
30,50.0,2.0,168.98179364941814
31,50.0,2.0,171.90381988316813
32,50.0,2.0,174.09533955848067
33,50.0,2.0,175.55635267535567
34,50.0,2.0,177.7478723506682
35,50.0,2.0,179.20888546754318
36,50.0,2.0,181.4004051428557
37,50.0,2.0,182.86141825973067
38,50.0,2.0,184.32243137660572
39,50.0,2.0,186.5139510519182
40,50.0,2.0,188.7054707272307
6,50.55555555555556,2.0,98.85316403941792
7,50.55555555555556,2.0,106.88873618223045
8,50.55555555555556,2.0,112.00228209129298
9,50.55555555555556,2.0,117.11582800035548
10,50.55555555555556,2.0,120.768360792543
11,50.55555555555556,2.0,122.9598804678555
12,50.55555555555556,2.0,126.61241326004301
13,50.55555555555556,2.0,130.26494605223056
14,50.55555555555556,2.0,133.91747884441804
15,50.55555555555556,2.0,136.83950507816803
16,50.55555555555556,2.0,139.03102475348055
17,50.55555555555556,2.0,141.95305098723057
18,50.55555555555556,2.0,144.14457066254306
19,50.55555555555556,2.0,147.79710345473055
20,50.55555555555556,2.0,149.9886231300431
21,50.55555555555556,2.0,151.4496362469181
22,50.55555555555556,2.0,153.6411559222306
23,50.55555555555556,2.0,156.5631821559806
24,50.55555555555556,2.0,158.75470183129312
25,50.55555555555556,2.0,161.67672806504314
26,50.55555555555556,2.0,163.8682477403556
27,50.55555555555556,2.0,166.05976741566815
28,50.55555555555556,2.0,167.52078053254314
29,50.55555555555556,2.0,169.71230020785566
30,50.55555555555556,2.0,172.63432644160565
31,50.55555555555556,2.0,174.09533955848067
32,50.55555555555556,2.0,176.2868592337932
33,50.55555555555556,2.0,177.7478723506682
34,50.55555555555556,2.0,179.9393920259807
35,50.55555555555556,2.0,181.4004051428557
36,50.55555555555556,2.0,183.5919248181682
37,50.55555555555556,2.0,185.0529379350432
38,50.55555555555556,2.0,187.2444576103557
39,50.55555555555556,2.0,188.7054707272307
40,50.55555555555556,2.0,192.35800351941825
6,51.111111111111114,2.0,101.04468371473043
7,51.111111111111114,2.0,109.08025585754295
8,51.111111111111114,2.0,112.73278864973048
9,51.111111111111114,2.0,117.84633455879299
10,51.111111111111114,2.0,121.49886735098052
11,51.111111111111114,2.0,125.151400143168
12,51.111111111111114,2.0,128.8039329353555
13,51.111111111111114,2.0,132.45646572754305
14,51.111111111111114,2.0,135.37849196129304
15,51.111111111111114,2.0,139.03102475348055
16,51.111111111111114,2.0,141.22254442879304
17,51.111111111111114,2.0,144.14457066254306
18,51.111111111111114,2.0,146.33609033785558
19,51.111111111111114,2.0,149.9886231300431
20,51.111111111111114,2.0,152.9106493637931
21,51.111111111111114,2.0,153.6411559222306
22,51.111111111111114,2.0,156.5631821559806
23,51.111111111111114,2.0,158.75470183129312
24,51.111111111111114,2.0,160.94622150660564
25,51.111111111111114,2.0,163.13774118191813
26,51.111111111111114,2.0,166.05976741566815
27,51.111111111111114,2.0,168.25128709098067
28,51.111111111111114,2.0,169.71230020785566
29,51.111111111111114,2.0,171.90381988316813
30,51.111111111111114,2.0,174.82584611691814
31,51.111111111111114,2.0,175.55635267535567
32,51.111111111111114,2.0,178.4783789091057
33,51.111111111111114,2.0,180.66989858441818
34,51.111111111111114,2.0,182.1309117012932
35,51.111111111111114,2.0,184.32243137660572
36,51.111111111111114,2.0,185.78344449348072
37,51.111111111111114,2.0,187.2444576103557
38,51.111111111111114,2.0,189.43597728566823
39,51.111111111111114,2.0,191.6274969609807
40,51.111111111111114,2.0,194.54952319473074
6,51.666666666666664,2.0,101.77519027316794
7,51.666666666666664,2.0,110.54126897441796
8,51.666666666666664,2.0,114.19380176660547
9,51.666666666666664,2.0,120.03785423410551
10,51.666666666666664,2.0,122.9598804678555
11,51.666666666666664,2.0,126.61241326004301
12,51.666666666666664,2.0,131.72595916910552
13,51.666666666666664,2.0,133.18697228598052
14,51.666666666666664,2.0,136.83950507816803
15,51.666666666666664,2.0,139.76153131191802
16,51.666666666666664,2.0,143.41406410410556
17,51.666666666666664,2.0,145.60558377941808
18,51.666666666666664,2.0,148.5276100131681
