unit,tagname,desc
KTT1,KALTIM1.SIGNAL.AI.10HHL11CF101,Secondary Air Flow
KTT1,KALTIM1.SIGNAL.AI.10HHL12CF101,Secondary Air Flow
KTT1,KALTIM1.SIGNAL.AI.10HHL13CF101,Secondary Air Flow
KTT1,KALTIM1.SIGNAL.AI.10HHL14CF101,Secondary Air Flow
KTT1,KALTIM1.SIGNAL.AI.10HHL21CF101,Secondary Air Flow
KTT1,KALTIM1.SIGNAL.AI.10HHL22CF101,Secondary Air Flow
KTT1,KALTIM1.SIGNAL.AI.10HHL23CF101,Secondary Air Flow
KTT1,KALTIM1.SIGNAL.AI.10HHL24CF101,Secondary Air Flow
KTT1,KALTIM1.SIGNAL.AI.MCS12MCS01A02,Coal Flow
KTT1,KALTIM1.SIGNAL.AI.10MKA01CE004,Load
KTT1,KALTIM1.SIGNAL.AI.10HHL02CF101,Primary Air Flow
KTT1,KALTIM1.SIGNAL.AI.10HHL03CF101,Primary Air Flow
KTT1,KALTIM1.SIGNAL.AI.10HHL04CF101,Primary Air Flow
KTT1,KALTIM1.SIGNAL.AI.10HEW11CF101,Primary Air Flow
KTT1,KALTIM1.SIGNAL.AI.10HFE11CF101,Primary Air Flow
KTT1,KALTIM1.SIGNAL.AI.10HFE12CF101,Primary Air Flow
KTT1,KALTIM1.SIGNAL.AI.10HEW12CF101,Primary Air Flow
KTT1,KALTIM1.SIGNAL.AI.10HFE21CF101,Primary Air Flow
KTT1,KALTIM1.SIGNAL.AI.10HFE22CF101,Primary Air Flow
KTT1,KALTIM1.SIGNAL.AI.10HFE32CF101,Primary Air Flow
KTT1,KALTIM1.SIGNAL.AI.10HEW13CF101,Primary Air Flow
KTT1,KALTIM1.SIGNAL.AI.10HFE31CF101,Primary Air Flow
KTT1,KALTIM1.SIGNAL.AI.10HEW14CF101,Primary Air Flow
KTT1,KALTIM1.SIGNAL.AI.10HFE41CF101,Primary Air Flow
KTT1,KALTIM1.SIGNAL.AI.10HFE42CF101,Primary Air Flow
KTT1,KALTIM1.SIGNAL.AI.10HEW15CF101,Primary Air Flow
KTT1,KALTIM1.SIGNAL.AI.10HFE51CF101,Primary Air Flow
KTT1,KALTIM1.SIGNAL.AI.10HFE52CF101,Primary Air Flow
KTT1,KALTIM1.SIGNAL.AI.10HEW16CF101,Primary Air Flow
KTT1,KALTIM1.SIGNAL.AI.10HFE61CF101,Primary Air Flow
KTT1,KALTIM1.SIGNAL.AI.10HFE62CF101,Primary Air Flow
KTT1,KALTIM1.SIGNAL.AI.10HBK31CQ101,Oxygen Sensor
KTT1,KALTIM1.SIGNAL.AI.10HBK41CQ101,Oxygen Sensor
KTT1,KALTIM1.SIGNAL.AI.10HBK11CP101,Furnace Pressure
KTT1,KALTIM1.SIGNAL.AI.10HBK21CP101,Furnace Pressure
KTT1,KALTIM1.SIGNAL.AI.10HBK11CP102,Bed Differential Pressure
KTT1,KALTIM1.SIGNAL.AI.10HBK21CP102,Bed Differential Pressure
KTT1,KALTIM1.SIGNAL.TC.10HBK30CT101,Bed Temperature
KTT1,KALTIM1.SIGNAL.TC.10HBK30CT102,Bed Temperature
KTT1,KALTIM1.SIGNAL.TC.10HBK30CT103,Bed Temperature
KTT1,KALTIM1.SIGNAL.TC.10HBK30CT104,Bed Temperature
KTT1,KALTIM1.SIGNAL.TC.10HBK30CT105,Bed Temperature
KTT1,KALTIM1.SIGNAL.TC.10HBK30CT106,Bed Temperature
KTT1,KALTIM1.SIGNAL.TC.10HBK30CT107,Bed Temperature
KTT1,KALTIM1.SIGNAL.TC.10HBK30CT108,Bed Temperature
KTT1,KALTIM1.SIGNAL.TC.10HBK40CT101,Bed Temperature
KTT1,KALTIM1.SIGNAL.TC.10HBK40CT102,Bed Temperature
KTT1,KALTIM1.SIGNAL.TC.10HBK40CT103,Bed Temperature
KTT1,KALTIM1.SIGNAL.TC.10HBK40CT104,Bed Temperature
KTT1,KALTIM1.SIGNAL.TC.10HBK11CT101,Furnace Temperature
KTT1,KALTIM1.SIGNAL.TC.10HBK21CT101,Furnace Temperature
KTT1,KALTIM 0.SIGNAL.AI.10HNA30CQ104,Stack NOx
KTT1,KALTIM 0.SIGNAL.AI.10HNA30CQ105,Stack CO
KTT1,KALTIM1.SIGNAL.AO.10HLB30AA101XQ11,Secondary Air Flow
KTT1,KALTIM1.SIGNAL.AO.10HLB40AA101XQ11,Secondary Air Flow
KTT2,KALTIM2.SIGNAL.AI.20HHL11CF101,Secondary Air Flow
KTT2,KALTIM2.SIGNAL.AI.20HHL12CF101,Secondary Air Flow
KTT2,KALTIM2.SIGNAL.AI.20HHL13CF101,Secondary Air Flow
KTT2,KALTIM2.SIGNAL.AI.20HHL14CF101,Secondary Air Flow
KTT2,KALTIM2.SIGNAL.AI.20HHL21CF101,Secondary Air Flow
KTT2,KALTIM2.SIGNAL.AI.20HHL22CF101,Secondary Air Flow
KTT2,KALTIM2.SIGNAL.AI.20HHL23CF101,Secondary Air Flow
KTT2,KALTIM2.SIGNAL.AI.20HHL24CF101,Secondary Air Flow
